Date,Price
15/1/1997,3.45
15/2/1997,2.15
15/3/1997,1.89
15/4/1997,2.03
15/5/1997,2.25
15/6/1997,2.2
15/7/1997,2.19
15/8/1997,2.49
15/9/1997,2.88
15/10/1997,3.07
15/11/1997,3.01
15/12/1997,2.35
15/1/1998,2.09
15/2/1998,2.23
15/3/1998,2.24
15/4/1998,2.43
15/5/1998,2.14
15/6/1998,2.17
15/7/1998,2.17
15/8/1998,1.85
15/9/1998,2.02
15/10/1998,1.91
15/11/1998,2.12
15/12/1998,1.72
15/1/1999,1.85
15/2/1999,1.77
15/3/1999,1.79
15/4/1999,2.15
15/5/1999,2.26
15/6/1999,2.3
15/7/1999,2.31
15/8/1999,2.8
15/9/1999,2.55
15/10/1999,2.73
15/11/1999,2.37
15/12/1999,2.36
15/1/2000,2.42
15/2/2000,2.66
15/3/2000,2.79
15/4/2000,3.04
15/5/2000,3.59
15/6/2000,4.29
15/7/2000,3.99
15/8/2000,4.43
15/9/2000,5.06
15/10/2000,5.02
15/11/2000,5.52
15/12/2000,8.9
15/1/2001,8.17
15/2/2001,5.61
15/3/2001,5.23
15/4/2001,5.19
15/5/2001,4.19
15/6/2001,3.72
15/7/2001,3.11
15/8/2001,2.97
15/9/2001,2.19
15/10/2001,2.46
15/11/2001,2.34
15/12/2001,2.3
15/1/2002,2.32
15/2/2002,2.32
15/3/2002,3.03
15/4/2002,3.43
15/5/2002,3.5
15/6/2002,3.26
15/7/2002,2.99
15/8/2002,3.09
15/9/2002,3.55
15/10/2002,4.13
15/11/2002,4.04
15/12/2002,4.74
15/1/2003,5.43
15/2/2003,7.71
15/3/2003,5.93
15/4/2003,5.26
15/5/2003,5.81
15/6/2003,5.82
15/7/2003,5.03
15/8/2003,4.99
15/9/2003,4.62
15/10/2003,4.63
15/11/2003,4.47
15/12/2003,6.13
15/1/2004,6.14
15/2/2004,5.37
15/3/2004,5.39
15/4/2004,5.71
15/5/2004,6.33
15/6/2004,6.27
15/7/2004,5.93
15/8/2004,5.41
15/9/2004,5.15
15/10/2004,6.35
15/11/2004,6.17
15/12/2004,6.58
15/1/2005,6.15
15/2/2005,6.14
15/3/2005,6.96
15/4/2005,7.16
15/5/2005,6.47
15/6/2005,7.18
15/7/2005,7.63
15/8/2005,9.53
15/9/2005,11.75
15/10/2005,13.42
15/11/2005,10.3
15/12/2005,13.05
15/1/2006,8.69
15/2/2006,7.54
15/3/2006,6.89
15/4/2006,7.16
15/5/2006,6.25
15/6/2006,6.21
15/7/2006,6.17
15/8/2006,7.14
15/9/2006,4.9
15/10/2006,5.85
15/11/2006,7.41
15/12/2006,6.73
15/1/2007,6.55
15/2/2007,8
15/3/2007,7.11
15/4/2007,7.6
15/5/2007,7.64
15/6/2007,7.35
15/7/2007,6.22
15/8/2007,6.22
15/9/2007,6.08
15/10/2007,6.74
15/11/2007,7.1
15/12/2007,7.11
15/1/2008,7.99
15/2/2008,8.54
15/3/2008,9.41
15/4/2008,10.18
15/5/2008,11.27
15/6/2008,12.69
15/7/2008,11.09
15/8/2008,8.26
15/9/2008,7.67
15/10/2008,6.74
15/11/2008,6.68
15/12/2008,5.82
15/1/2009,5.24
15/2/2009,4.52
15/3/2009,3.96
15/4/2009,3.5
15/5/2009,3.83
15/6/2009,3.8
15/7/2009,3.38
15/8/2009,3.14
15/9/2009,2.99
15/10/2009,4.01
15/11/2009,3.66
15/12/2009,5.35
15/1/2010,5.83
15/2/2010,5.32
15/3/2010,4.29
15/4/2010,4.03
15/5/2010,4.14
15/6/2010,4.8
15/7/2010,4.63
15/8/2010,4.32
15/9/2010,3.89
15/10/2010,3.43
15/11/2010,3.71
15/12/2010,4.25
15/1/2011,4.49
15/2/2011,4.09
15/3/2011,3.97
15/4/2011,4.24
15/5/2011,4.31
15/6/2011,4.54
15/7/2011,4.42
15/8/2011,4.06
15/9/2011,3.9
15/10/2011,3.57
15/11/2011,3.24
15/12/2011,3.17
15/1/2012,2.67
15/2/2012,2.51
15/3/2012,2.17
15/4/2012,1.95
15/5/2012,2.43
15/6/2012,2.46
15/7/2012,2.95
15/8/2012,2.84
15/9/2012,2.85
15/10/2012,3.32
15/11/2012,3.54
15/12/2012,3.34
15/1/2013,3.33
15/2/2013,3.33
15/3/2013,3.81
15/4/2013,4.17
15/5/2013,4.04
15/6/2013,3.83
15/7/2013,3.62
15/8/2013,3.43
15/9/2013,3.62
15/10/2013,3.68
15/11/2013,3.64
15/12/2013,4.24
15/1/2014,4.71
15/2/2014,6
15/3/2014,4.9
15/4/2014,4.66
15/5/2014,4.58
15/6/2014,4.59
15/7/2014,4.05
15/8/2014,3.91
15/9/2014,3.92
15/10/2014,3.78
15/11/2014,4.12
15/12/2014,3.48
15/1/2015,2.99
15/2/2015,2.87
15/3/2015,2.83
15/4/2015,2.61
15/5/2015,2.85
15/6/2015,2.78
15/7/2015,2.84
15/8/2015,2.77
15/9/2015,2.66
15/10/2015,2.34
15/11/2015,2.09
15/12/2015,1.93
15/1/2016,2.28
15/2/2016,1.99
15/3/2016,1.73
15/4/2016,1.92
15/5/2016,1.92
15/6/2016,2.59
15/7/2016,2.82
15/8/2016,2.82
15/9/2016,2.99
15/10/2016,2.98
15/11/2016,2.55
15/12/2016,3.59
15/1/2017,3.3
15/2/2017,2.85
15/3/2017,2.88
15/4/2017,3.1
15/5/2017,3.15
15/6/2017,2.98
15/7/2017,2.98
15/8/2017,2.9
15/9/2017,2.98
15/10/2017,2.88
15/11/2017,3.01
15/12/2017,2.82
15/1/2018,3.87
15/2/2018,2.67
15/3/2018,2.69
15/4/2018,2.8
15/5/2018,2.8
15/6/2018,2.97
15/7/2018,2.83
15/8/2018,2.96
15/9/2018,3
15/10/2018,3.28
15/11/2018,4.09
15/12/2018,4.04
15/1/2019,3.11
15/2/2019,2.69
15/3/2019,2.95
15/4/2019,2.65
15/5/2019,2.64
15/6/2019,2.4
15/7/2019,2.37
15/8/2019,2.22
15/9/2019,2.56
15/10/2019,2.33
15/11/2019,2.65
15/12/2019,2.22
15/1/2020,2.02
15/2/2020,1.91
15/3/2020,1.79
15/4/2020,1.74
15/5/2020,1.75
15/6/2020,1.63
15/7/2020,1.76
15/8/2020,2.3
15/9/2020,1.92
15/10/2020,2.39
15/11/2020,2.61
15/12/2020,2.58
15/1/2021,2.71
15/2/2021,5.35
15/3/2021,2.62
15/4/2021,2.66
15/5/2021,2.91
15/6/2021,3.26
15/7/2021,3.84
15/8/2021,4.07
15/9/2021,5.16
15/10/2021,5.51
15/11/2021,5.05
15/12/2021,3.76
15/1/2022,4.38
15/2/2022,4.69
15/3/2022,4.9
15/4/2022,6.6
15/5/2022,8.14
15/6/2022,7.7
15/7/2022,7.28
15/8/2022,8.81
15/9/2022,7.88
15/10/2022,5.66
15/11/2022,5.45
15/12/2022,5.53
15/1/2023,3.27
15/2/2023,2.38
15/3/2023,2.31
15/4/2023,2.16
15/5/2023,2.15
15/6/2023,2.18
15/7/2023,2.55
15/8/2023,2.58
15/9/2023,2.64
15/10/2023,2.98
15/11/2023,2.71
15/12/2023,2.52
15/1/2024,3.18
15/2/2024,1.72
15/3/2024,1.49
15/4/2024,1.6
15/5/2024,2.12
15/6/2024,2.54
15/7/2024,2.07
15/8/2024,1.99
15/9/2024,2.28
15/10/2024,2.2
15/11/2024,2.12
15/12/2024,3.01
15/1/2025,4.13
15/2/2025,4.19
15/3/2025,4.12
15/4/2025,3.42
